epoch,accuracy,false_negatives,false_positives,loss,precision,recall,sensitivity_at_specificity_1,specificity_at_sensitivity_1,true_negatives,true_positives,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_sensitivity_at_specificity_1,val_specificity_at_sensitivity_1,val_true_negatives,val_true_positives
0,0.9857507944107056,39.0,39.0,0.07975297421216965,0.9857507944107056,0.9857507944107056,0.9923273921012878,0.9923273921012878,2698.0,2698.0,0.965848445892334,32.0,32.0,0.1748228818178177,0.965848445892334,0.965848445892334,0.965848445892334,0.965848445892334,905.0,905.0
1,0.9915966391563416,23.0,23.0,0.03760508447885513,0.9915966391563416,0.9915966391563416,0.9930580854415894,0.9930580854415894,2714.0,2714.0,0.965848445892334,32.0,32.0,0.17987160384655,0.965848445892334,0.965848445892334,0.965848445892334,0.965848445892334,905.0,905.0
2,0.9930580854415894,19.0,19.0,0.022642802447080612,0.9930580854415894,0.9930580854415894,0.9989039301872253,0.9989039301872253,2718.0,2718.0,0.965848445892334,32.0,32.0,0.15673808753490448,0.965848445892334,0.965848445892334,0.9733191132545471,0.9733191132545471,905.0,905.0
3,0.9937888383865356,17.0,17.0,0.02180967852473259,0.9937888383865356,0.9937888383865356,0.9974424839019775,0.9974424839019775,2720.0,2720.0,0.9743863344192505,24.0,24.0,0.1527988761663437,0.9743863344192505,0.9743863344192505,0.9818570017814636,0.9818570017814636,913.0,913.0
4,0.9963463544845581,10.0,10.0,0.012036793865263462,0.9963463544845581,0.9963463544845581,0.9996346235275269,0.9996346235275269,2727.0,2727.0,0.9722518920898438,26.0,26.0,0.1356753259897232,0.9722518920898438,0.9722518920898438,0.9786552786827087,0.9786552786827087,911.0,911.0
5,0.9967117309570312,9.0,9.0,0.010821793228387833,0.9967117309570312,0.9967117309570312,0.9996346235275269,0.9996346235275269,2728.0,2728.0,0.9743863344192505,24.0,24.0,0.14676129817962646,0.9743863344192505,0.9743863344192505,0.9807897806167603,0.9807897806167603,913.0,913.0
6,0.9970771074295044,8.0,8.0,0.00804484635591507,0.9970771074295044,0.9970771074295044,0.9992692470550537,0.9992692470550537,2729.0,2729.0,0.9807897806167603,18.0,18.0,0.08109292387962341,0.9807897806167603,0.9807897806167603,0.9903948903083801,0.9903948903083801,919.0,919.0
7,0.9974424839019775,7.0,7.0,0.007662324700504541,0.9974424839019775,0.9974424839019775,0.9996346235275269,0.9996346235275269,2730.0,2730.0,0.9701173901557922,28.0,28.0,0.1799522191286087,0.9701173901557922,0.9701173901557922,0.9775880575180054,0.9775880575180054,909.0,909.0
8,0.9974424839019775,7.0,7.0,0.010033942759037018,0.9974424839019775,0.9974424839019775,0.9989039301872253,0.9989039301872253,2730.0,2730.0,0.976520836353302,22.0,22.0,0.11394026130437851,0.976520836353302,0.976520836353302,0.9839914441108704,0.9839914441108704,915.0,915.0
9,0.9992692470550537,2.0,2.0,0.0028587274719029665,0.9992692470550537,0.9992692470550537,1.0,1.0,2735.0,2735.0,0.9754535555839539,23.0,23.0,0.1695244312286377,0.9754535555839539,0.9754535555839539,0.982924222946167,0.982924222946167,914.0,914.0
10,0.9989039301872253,3.0,3.0,0.0025408659130334854,0.9989039301872253,0.9989039301872253,1.0,1.0,2734.0,2734.0,0.9786552786827087,20.0,20.0,0.13528770208358765,0.9786552786827087,0.9786552786827087,0.982924222946167,0.982924222946167,917.0,917.0
11,0.9989039301872253,3.0,3.0,0.0032164002768695354,0.9989039301872253,0.9989039301872253,1.0,1.0,2734.0,2734.0,0.9679829478263855,30.0,30.0,0.21144267916679382,0.9679829478263855,0.9679829478263855,0.9754535555839539,0.9754535555839539,907.0,907.0
12,1.0,0.0,0.0,0.0008381309453397989,1.0,1.0,1.0,1.0,2737.0,2737.0,0.9743863344192505,24.0,24.0,0.1641470491886139,0.9743863344192505,0.9743863344192505,0.9807897806167603,0.9807897806167603,913.0,913.0
13,1.0,0.0,0.0,0.0014824771787971258,1.0,1.0,1.0,1.0,2737.0,2737.0,0.9797224998474121,19.0,19.0,0.10354744642972946,0.9797224998474121,0.9797224998474121,0.9893276691436768,0.9893276691436768,918.0,918.0
14,1.0,0.0,0.0,0.0003530502144712955,1.0,1.0,1.0,1.0,2737.0,2737.0,0.9882603883743286,11.0,11.0,0.08481423556804657,0.9882603883743286,0.9882603883743286,0.9903948903083801,0.9903948903083801,926.0,926.0
15,1.0,0.0,0.0,0.0005513615906238556,1.0,1.0,1.0,1.0,2737.0,2737.0,0.9754535555839539,23.0,23.0,0.14355222880840302,0.9754535555839539,0.9754535555839539,0.9839914441108704,0.9839914441108704,914.0,914.0
16,0.998173177242279,5.0,5.0,0.004281654953956604,0.998173177242279,0.998173177242279,1.0,1.0,2732.0,2732.0,0.9818570017814636,17.0,17.0,0.11322278529405594,0.9818570017814636,0.9818570017814636,0.9861259460449219,0.9861259460449219,920.0,920.0
17,0.9967117309570312,9.0,9.0,0.015310253016650677,0.9967117309570312,0.9967117309570312,0.9978078007698059,0.9978078007698059,2728.0,2728.0,0.9690501689910889,29.0,29.0,0.2782460153102875,0.9690501689910889,0.9690501689910889,0.9743863344192505,0.9743863344192505,908.0,908.0
18,0.9978078007698059,6.0,6.0,0.005959713831543922,0.9978078007698059,0.9978078007698059,0.9996346235275269,0.9996346235275269,2731.0,2731.0,0.9711846113204956,27.0,27.0,0.17094217240810394,0.9711846113204956,0.9711846113204956,0.9775880575180054,0.9775880575180054,910.0,910.0
19,0.9992692470550537,2.0,2.0,0.0022748257033526897,0.9992692470550537,0.9992692470550537,1.0,1.0,2735.0,2735.0,0.9797224998474121,19.0,19.0,0.1514027714729309,0.9797224998474121,0.9797224998474121,0.982924222946167,0.982924222946167,918.0,918.0
20,0.9989039301872253,3.0,3.0,0.004168943036347628,0.9989039301872253,0.9989039301872253,0.9996346235275269,0.9996346235275269,2734.0,2734.0,0.9775880575180054,21.0,21.0,0.14242014288902283,0.9775880575180054,0.9775880575180054,0.9818570017814636,0.9818570017814636,916.0,916.0
21,0.9989039301872253,3.0,3.0,0.005545164458453655,0.9989039301872253,0.9989039301872253,0.9996346235275269,0.9996346235275269,2734.0,2734.0,0.9807897806167603,18.0,18.0,0.12382421642541885,0.9807897806167603,0.9807897806167603,0.9850587248802185,0.9850587248802185,919.0,919.0
22,0.9992692470550537,2.0,2.0,0.0034981034696102142,0.9992692470550537,0.9992692470550537,0.9996346235275269,0.9996346235275269,2735.0,2735.0,0.9711846113204956,27.0,27.0,0.1736922562122345,0.9711846113204956,0.9711846113204956,0.9775880575180054,0.9775880575180054,910.0,910.0
23,0.9992692470550537,2.0,2.0,0.001087690587155521,0.9992692470550537,0.9992692470550537,1.0,1.0,2735.0,2735.0,0.9839914441108704,15.0,15.0,0.10983462631702423,0.9839914441108704,0.9839914441108704,0.9882603883743286,0.9882603883743286,922.0,922.0
24,1.0,0.0,0.0,0.00020111625781282783,1.0,1.0,1.0,1.0,2737.0,2737.0,0.9754535555839539,23.0,23.0,0.15377436578273773,0.9754535555839539,0.9754535555839539,0.9861259460449219,0.9861259460449219,914.0,914.0
25,0.9992692470550537,2.0,2.0,0.0008296728483401239,0.9992692470550537,0.9992692470550537,1.0,1.0,2735.0,2735.0,0.9754535555839539,23.0,23.0,0.19171105325222015,0.9754535555839539,0.9754535555839539,0.9797224998474121,0.9797224998474121,914.0,914.0
26,0.9992692470550537,2.0,2.0,0.0034503198694437742,0.9992692470550537,0.9992692470550537,0.9996346235275269,0.9996346235275269,2735.0,2735.0,0.9690501689910889,29.0,29.0,0.22646445035934448,0.9690501689910889,0.9690501689910889,0.9733191132545471,0.9733191132545471,908.0,908.0
27,0.998173177242279,5.0,5.0,0.003982425667345524,0.998173177242279,0.998173177242279,0.9996346235275269,0.9996346235275269,2732.0,2732.0,0.9679829478263855,30.0,30.0,0.31701070070266724,0.9679829478263855,0.9679829478263855,0.9711846113204956,0.9711846113204956,907.0,907.0
28,0.998173177242279,5.0,5.0,0.0070792739279568195,0.998173177242279,0.998173177242279,0.9989039301872253,0.9989039301872253,2732.0,2732.0,0.9530416131019592,44.0,44.0,0.38188543915748596,0.9530416131019592,0.9530416131019592,0.9647812247276306,0.9647812247276306,893.0,893.0
29,0.9992692470550537,2.0,2.0,0.003170004114508629,0.9992692470550537,0.9992692470550537,0.9996346235275269,0.9996346235275269,2735.0,2735.0,0.9722518920898438,26.0,26.0,0.12652912735939026,0.9722518920898438,0.9722518920898438,0.9839914441108704,0.9839914441108704,911.0,911.0
30,0.9978078007698059,6.0,6.0,0.0086970878764987,0.9978078007698059,0.9978078007698059,0.9992692470550537,0.9992692470550537,2731.0,2731.0,0.9711846113204956,27.0,27.0,0.24495965242385864,0.9711846113204956,0.9711846113204956,0.9754535555839539,0.9754535555839539,910.0,910.0
31,0.9996346235275269,1.0,1.0,0.0011157771805301309,0.9996346235275269,0.9996346235275269,1.0,1.0,2736.0,2736.0,0.9722518920898438,26.0,26.0,0.2186603546142578,0.9722518920898438,0.9722518920898438,0.9754535555839539,0.9754535555839539,911.0,911.0
32,0.9989039301872253,3.0,3.0,0.0019468306563794613,0.9989039301872253,0.9989039301872253,1.0,1.0,2734.0,2734.0,0.9786552786827087,20.0,20.0,0.1377328485250473,0.9786552786827087,0.9786552786827087,0.9839914441108704,0.9839914441108704,917.0,917.0
33,0.9996346235275269,1.0,1.0,0.0007969407015480101,0.9996346235275269,0.9996346235275269,1.0,1.0,2736.0,2736.0,0.976520836353302,22.0,22.0,0.1930326670408249,0.976520836353302,0.976520836353302,0.9807897806167603,0.9807897806167603,915.0,915.0
34,1.0,0.0,0.0,0.0006034835823811591,1.0,1.0,1.0,1.0,2737.0,2737.0,0.9775880575180054,21.0,21.0,0.17848418653011322,0.9775880575180054,0.9775880575180054,0.9797224998474121,0.9797224998474121,916.0,916.0
35,1.0,0.0,0.0,0.0002968786284327507,1.0,1.0,1.0,1.0,2737.0,2737.0,0.9797224998474121,19.0,19.0,0.16115514934062958,0.9797224998474121,0.9797224998474121,0.9861259460449219,0.9861259460449219,918.0,918.0
36,1.0,0.0,0.0,0.0001238721888512373,1.0,1.0,1.0,1.0,2737.0,2737.0,0.9818570017814636,17.0,17.0,0.15625032782554626,0.9818570017814636,0.9818570017814636,0.9861259460449219,0.9861259460449219,920.0,920.0
37,1.0,0.0,0.0,0.00015377624367829412,1.0,1.0,1.0,1.0,2737.0,2737.0,0.9807897806167603,18.0,18.0,0.15149007737636566,0.9807897806167603,0.9807897806167603,0.9861259460449219,0.9861259460449219,919.0,919.0
38,1.0,0.0,0.0,5.4264262871583924e-05,1.0,1.0,1.0,1.0,2737.0,2737.0,0.9807897806167603,18.0,18.0,0.15629301965236664,0.9807897806167603,0.9807897806167603,0.9839914441108704,0.9839914441108704,919.0,919.0
39,1.0,0.0,0.0,5.14513194502797e-05,1.0,1.0,1.0,1.0,2737.0,2737.0,0.9818570017814636,17.0,17.0,0.16418632864952087,0.9818570017814636,0.9818570017814636,0.9839914441108704,0.9839914441108704,920.0,920.0
40,1.0,0.0,0.0,4.243071816745214e-05,1.0,1.0,1.0,1.0,2737.0,2737.0,0.9818570017814636,17.0,17.0,0.1663723737001419,0.9818570017814636,0.9818570017814636,0.9839914441108704,0.9839914441108704,920.0,920.0
41,1.0,0.0,0.0,4.16478214901872e-05,1.0,1.0,1.0,1.0,2737.0,2737.0,0.9807897806167603,18.0,18.0,0.16893744468688965,0.9807897806167603,0.9807897806167603,0.982924222946167,0.982924222946167,919.0,919.0
42,1.0,0.0,0.0,8.25971073936671e-05,1.0,1.0,1.0,1.0,2737.0,2737.0,0.9775880575180054,21.0,21.0,0.19982942938804626,0.9775880575180054,0.9775880575180054,0.9818570017814636,0.9818570017814636,916.0,916.0
43,1.0,0.0,0.0,0.00010635968646965921,1.0,1.0,1.0,1.0,2737.0,2737.0,0.9797224998474121,19.0,19.0,0.17103160917758942,0.9797224998474121,0.9797224998474121,0.9839914441108704,0.9839914441108704,918.0,918.0
44,0.9974424839019775,7.0,7.0,0.008850157260894775,0.9974424839019775,0.9974424839019775,0.9992692470550537,0.9992692470550537,2730.0,2730.0,0.9797224998474121,19.0,19.0,0.13017842173576355,0.9797224998474121,0.9797224998474121,0.9882603883743286,0.9882603883743286,918.0,918.0
45,0.9978078007698059,6.0,6.0,0.005372845567762852,0.9978078007698059,0.9978078007698059,0.9996346235275269,0.9996346235275269,2731.0,2731.0,0.9679829478263855,30.0,30.0,0.3186282813549042,0.9679829478263855,0.9679829478263855,0.9701173901557922,0.9701173901557922,907.0,907.0
46,0.9967117309570312,9.0,9.0,0.010389627888798714,0.9967117309570312,0.9967117309570312,0.9992692470550537,0.9992692470550537,2728.0,2728.0,0.9679829478263855,30.0,30.0,0.2862972915172577,0.9679829478263855,0.9679829478263855,0.9711846113204956,0.9711846113204956,907.0,907.0
47,0.9996346235275269,1.0,1.0,0.001714674406684935,0.9996346235275269,0.9996346235275269,1.0,1.0,2736.0,2736.0,0.976520836353302,22.0,22.0,0.11698292940855026,0.976520836353302,0.976520836353302,0.9871931672096252,0.9871931672096252,915.0,915.0
48,1.0,0.0,0.0,0.0003330322215333581,1.0,1.0,1.0,1.0,2737.0,2737.0,0.9775880575180054,21.0,21.0,0.15620864927768707,0.9775880575180054,0.9775880575180054,0.982924222946167,0.982924222946167,916.0,916.0
49,1.0,0.0,0.0,0.0005777081823907793,1.0,1.0,1.0,1.0,2737.0,2737.0,0.9754535555839539,23.0,23.0,0.16586677730083466,0.9754535555839539,0.9754535555839539,0.9797224998474121,0.9797224998474121,914.0,914.0
